03-04 17:32:54  New day is coming 4 
03-04 17:32:54  Not game time, sleep... 
03-05 02:20:25  Looking for image: matching.png 
03-05 02:20:26  Still in matching 
03-05 02:20:28  Looking for image: matching.png 
03-05 02:20:30  Still in matching 
03-05 02:20:32  Looking for image: matching.png 
03-05 02:20:38  Not found matching.png, maybe match done 
03-05 02:20:40  Looking for image: matching.png 
03-05 02:20:46  Not found matching.png, maybe match done 
03-05 02:20:48  Looking for image: matching.png 
03-05 02:20:53  Not found matching.png, maybe match done 
03-05 02:20:53  matching done 
03-05 02:20:53  Game is going on. 
03-05 02:21:03  Select card. 
03-05 02:21:09  Wait for succeed 
03-05 02:21:09  Game is going on. 
03-05 02:21:27  Game is going on. 
03-05 02:21:27  Looking for image: bk1.png 
03-05 02:21:50  Game is going on. 
03-05 02:21:50  Looking for image: bk1.png 
03-05 02:22:14  Game is going on. 
03-05 02:22:14  Looking for image: bk1.png 
03-05 02:22:19  I Give up 
03-05 02:22:43  Looking for image: bk1.png 
03-05 02:22:43  Total have win: 1 
03-05 02:22:43  Start Match 
03-05 02:22:46  start round match 
03-05 02:22:48  Looking for image: matching.png 
03-05 02:22:54  Not found matching.png, maybe match done 
03-05 02:22:56  Looking for image: matching.png 
03-05 02:23:00  Not found matching.png, maybe match done 
03-05 02:23:03  Looking for image: matching.png 
03-05 02:23:09  Not found matching.png, maybe match done 
03-05 02:23:09  matching done 
03-05 02:23:09  Game is going on. 
03-05 02:23:19  Select card. 
03-05 02:23:24  Wait for succeed 
03-05 02:23:24  Game is going on. 
03-05 02:23:42  Game is going on. 
03-05 02:23:42  Looking for image: bk1.png 
03-05 02:24:06  Game is going on. 
03-05 02:24:06  Looking for image: bk1.png 
03-05 02:24:29  Game is going on. 
03-05 02:24:29  Looking for image: bk1.png 
03-05 02:24:35  I Give up 
03-05 02:24:58  Looking for image: bk1.png 
03-05 02:24:59  Total have win: 1 
03-05 02:24:59  Start Match 
03-05 02:25:01  start round match 
03-05 02:25:03  Looking for image: matching.png 
03-05 02:25:04  Still in matching 
03-05 02:25:06  Looking for image: matching.png 
03-05 02:25:07  Still in matching 
03-05 02:25:09  Looking for image: matching.png 
03-05 02:25:10  Still in matching 
03-05 02:25:12  Looking for image: matching.png 
03-05 02:25:13  Still in matching 
03-05 02:25:15  Looking for image: matching.png 
03-05 02:25:15  Still in matching 
03-05 02:25:18  Looking for image: matching.png 
03-05 02:25:24  Not found matching.png, maybe match done 
03-05 02:25:26  Looking for image: matching.png 
03-05 02:25:32  Not found matching.png, maybe match done 
03-05 02:25:34  Looking for image: matching.png 
03-05 02:25:40  Not found matching.png, maybe match done 
03-05 02:25:40  matching done 
03-05 02:25:40  Game is going on. 
03-05 02:25:50  Select card. 
03-05 02:25:55  Wait for succeed 
03-05 02:25:55  Game is going on. 
03-05 02:26:13  Game is going on. 
03-05 02:26:13  Looking for image: bk1.png 
03-05 02:26:37  Game is going on. 
03-05 02:26:37  Looking for image: bk1.png 
03-05 02:27:00  Game is going on. 
03-05 02:27:00  Looking for image: bk1.png 
03-05 02:27:06  I Give up 
03-05 02:27:29  Looking for image: bk1.png 
03-05 02:27:30  Total have win: 1 
03-05 02:27:30  Start Match 
03-05 02:27:32  start round match 
03-05 02:27:34  Looking for image: matching.png 
03-05 02:27:35  Still in matching 
03-05 02:27:37  Looking for image: matching.png 
03-05 02:27:38  Still in matching 
03-05 02:27:40  Looking for image: matching.png 
03-05 02:27:41  Still in matching 
03-05 02:27:43  Looking for image: matching.png 
03-05 02:27:44  Still in matching 
03-05 02:27:46  Looking for image: matching.png 
03-05 02:27:49  Still in matching 
03-05 02:27:51  Looking for image: matching.png 
03-05 02:27:56  Not found matching.png, maybe match done 
03-05 02:27:59  Looking for image: matching.png 
03-05 02:28:04  Not found matching.png, maybe match done 
03-05 02:28:06  Looking for image: matching.png 
03-05 02:28:12  Not found matching.png, maybe match done 
03-05 02:28:12  matching done 
03-05 02:28:12  Game is going on. 
03-05 02:28:22  Select card. 
03-05 02:28:27  Wait for succeed 
03-05 02:28:27  Game is going on. 
03-05 02:28:45  Game is going on. 
03-05 02:28:45  Looking for image: bk1.png 
03-05 02:29:09  Game is going on. 
03-05 02:29:09  Looking for image: bk1.png 
03-05 02:29:33  Game is going on. 
03-05 02:29:33  Looking for image: bk1.png 
03-05 02:29:38  I Give up 
03-05 02:30:02  Looking for image: bk1.png 
03-05 02:30:02  Total have win: 1 
03-05 02:30:02  Start Match 
03-05 02:30:05  start round match 
03-05 02:30:07  Looking for image: matching.png 
03-05 02:30:07  Still in matching 
03-05 02:30:10  Looking for image: matching.png 
03-05 02:30:10  Still in matching 
03-05 02:30:13  Looking for image: matching.png 
03-05 02:30:13  Still in matching 
03-05 02:30:15  Looking for image: matching.png 
03-05 02:30:16  Still in matching 
03-05 02:30:18  Looking for image: matching.png 
03-05 02:30:19  Still in matching 
03-05 02:30:21  Looking for image: matching.png 
03-05 02:30:27  Not found matching.png, maybe match done 
03-05 02:30:29  Looking for image: matching.png 
03-05 02:30:34  Not found matching.png, maybe match done 
03-05 02:30:36  Looking for image: matching.png 
03-05 02:30:42  Not found matching.png, maybe match done 
03-05 02:30:42  matching done 
03-05 02:30:42  Game is going on. 
03-05 02:30:52  Select card. 
03-05 02:30:57  Wait for succeed 
03-05 02:30:57  Game is going on. 
03-05 02:31:15  Game is going on. 
03-05 02:31:15  Looking for image: bk1.png 
03-05 02:31:38  Game is going on. 
03-05 02:31:38  Looking for image: bk1.png 
03-05 02:32:02  Game is going on. 
03-05 02:32:02  Looking for image: bk1.png 
03-05 02:32:07  I Give up 
03-05 02:32:31  Looking for image: bk1.png 
03-05 02:32:31  Total have win: 1 
03-05 02:32:31  Start Match 
03-05 02:32:33  start round match 
03-05 02:32:36  Looking for image: matching.png 
03-05 02:32:36  Still in matching 
03-05 02:32:39  Looking for image: matching.png 
03-05 02:32:39  Still in matching 
03-05 02:32:41  Looking for image: matching.png 
03-05 02:32:42  Still in matching 
03-05 02:32:44  Looking for image: matching.png 
03-05 02:32:50  Not found matching.png, maybe match done 
03-05 02:32:52  Looking for image: matching.png 
03-05 02:32:58  Not found matching.png, maybe match done 
03-05 02:33:00  Looking for image: matching.png 
03-05 02:33:05  Not found matching.png, maybe match done 
03-05 02:33:05  matching done 
03-05 02:33:05  Game is going on. 
03-05 02:33:15  Select card. 
03-05 02:33:21  Wait for succeed 
03-05 02:33:21  Game is going on. 
03-05 02:33:39  Game is going on. 
03-05 02:33:39  Looking for image: bk1.png 
03-05 02:34:02  Game is going on. 
03-05 02:34:02  Looking for image: bk1.png 
03-05 02:34:26  Game is going on. 
03-05 02:34:26  Looking for image: bk1.png 
03-05 02:34:31  I Give up 
03-05 02:34:55  Looking for image: bk1.png 
03-05 02:34:55  Total have win: 1 
03-05 02:34:55  Start Match 
03-05 02:34:58  start round match 
03-05 02:35:00  Looking for image: matching.png 
03-05 02:35:00  Still in matching 
03-05 02:35:03  Looking for image: matching.png 
03-05 02:35:03  Still in matching 
03-05 02:35:06  Looking for image: matching.png 
03-05 02:35:06  Still in matching 
03-05 02:35:08  Looking for image: matching.png 
03-05 02:35:09  Still in matching 
03-05 02:35:12  Looking for image: matching.png 
03-05 02:35:12  Still in matching 
03-05 02:35:14  Looking for image: matching.png 
03-05 02:35:15  Still in matching 
03-05 02:35:17  Looking for image: matching.png 
03-05 02:35:21  Still in matching 
03-05 02:35:23  Looking for image: matching.png 
03-05 02:35:29  Not found matching.png, maybe match done 
03-05 02:35:31  Looking for image: matching.png 
03-05 02:35:36  Not found matching.png, maybe match done 
03-05 02:35:39  Looking for image: matching.png 
03-05 02:35:44  Not found matching.png, maybe match done 
03-05 02:35:44  matching done 
03-05 02:35:44  Game is going on. 
03-05 02:35:54  Select card. 
03-05 02:35:59  Wait for succeed 
03-05 02:35:59  Game is going on. 
03-05 02:36:17  Game is going on. 
03-05 02:36:17  Looking for image: bk1.png 
03-05 02:36:41  Game is going on. 
03-05 02:36:41  Looking for image: bk1.png 
03-05 02:37:04  Game is going on. 
03-05 02:37:04  Looking for image: bk1.png 
03-05 02:37:10  I Give up 
03-05 02:37:33  Looking for image: bk1.png 
03-05 02:37:34  Total have win: 1 
03-05 02:37:34  Start Match 
03-05 02:37:36  start round match 
03-05 02:37:38  Looking for image: matching.png 
03-05 02:37:39  Still in matching 
03-05 02:37:41  Looking for image: matching.png 
03-05 02:37:42  Still in matching 
03-05 02:37:44  Looking for image: matching.png 
03-05 02:37:45  Still in matching 
03-05 02:37:47  Looking for image: matching.png 
03-05 02:37:47  Still in matching 
03-05 02:37:50  Looking for image: matching.png 
03-05 02:37:55  Not found matching.png, maybe match done 
03-05 02:37:57  Looking for image: matching.png 
03-05 02:38:04  Not found matching.png, maybe match done 
03-05 02:38:06  Looking for image: matching.png 
03-05 02:38:12  Not found matching.png, maybe match done 
03-05 02:38:12  matching done 
03-05 02:38:12  Game is going on. 
03-05 02:38:22  Select card. 
03-05 02:38:28  Wait for succeed 
03-05 02:38:28  Game is going on. 
03-05 02:38:46  Game is going on. 
03-05 02:38:46  Looking for image: bk1.png 
03-05 02:39:10  Game is going on. 
03-05 02:39:10  Looking for image: bk1.png 
03-05 02:39:35  Game is going on. 
03-05 02:39:35  Looking for image: bk1.png 
03-05 02:39:41  I Give up 
03-05 02:40:05  Looking for image: bk1.png 
03-05 02:40:05  Total have win: 1 
03-05 02:40:05  Start Match 
03-05 02:40:08  start round match 
03-05 02:40:10  Looking for image: matching.png 
03-05 02:40:11  Still in matching 
03-05 02:40:13  Looking for image: matching.png 
03-05 02:40:14  Still in matching 
03-05 02:40:16  Looking for image: matching.png 
03-05 02:40:16  Still in matching 
03-05 02:40:19  Looking for image: matching.png 
03-05 02:40:19  Still in matching 
03-05 02:40:21  Looking for image: matching.png 
03-05 02:40:22  Still in matching 
03-05 02:40:24  Looking for image: matching.png 
03-05 02:40:30  Not found matching.png, maybe match done 
03-05 02:40:32  Looking for image: matching.png 
03-05 02:40:38  Not found matching.png, maybe match done 
03-05 02:40:40  Looking for image: matching.png 
03-05 02:40:46  Not found matching.png, maybe match done 
03-05 02:40:46  matching done 
03-05 02:40:46  Game is going on. 
03-05 02:40:56  Select card. 
03-05 02:41:01  Wait for succeed 
03-05 02:41:01  Game is going on. 
03-05 02:41:19  Game is going on. 
03-05 02:41:19  Looking for image: bk1.png 
03-05 02:41:43  Game is going on. 
03-05 02:41:43  Looking for image: bk1.png 
03-05 02:42:06  Game is going on. 
03-05 02:42:06  Looking for image: bk1.png 
03-05 02:42:12  I Give up 
03-05 02:42:35  Looking for image: bk1.png 
03-05 02:42:36  Total have win: 1 
03-05 02:42:36  Start Match 
03-05 02:42:38  start round match 
03-05 02:42:40  Looking for image: matching.png 
03-05 02:42:41  Still in matching 
03-05 02:42:43  Looking for image: matching.png 
03-05 02:42:44  Still in matching 
03-05 02:42:46  Looking for image: matching.png 
03-05 02:42:47  Still in matching 
03-05 02:42:49  Looking for image: matching.png 
03-05 02:42:49  Still in matching 
03-05 02:42:52  Looking for image: matching.png 
03-05 02:42:52  Still in matching 
03-05 02:42:54  Looking for image: matching.png 
03-05 02:42:55  Still in matching 
03-05 02:42:57  Looking for image: matching.png 
03-05 02:42:58  Still in matching 
03-05 02:43:00  Looking for image: matching.png 
03-05 02:43:01  Still in matching 
03-05 02:43:03  Looking for image: matching.png 
03-05 02:43:09  Not found matching.png, maybe match done 
03-05 02:43:11  Looking for image: matching.png 
03-05 02:43:17  Not found matching.png, maybe match done 
03-05 02:43:19  Looking for image: matching.png 
03-05 02:43:25  Not found matching.png, maybe match done 
03-05 02:43:25  matching done 
03-05 02:43:25  Game is going on. 
03-05 02:43:35  Select card. 
03-05 02:43:40  Wait for succeed 
03-05 02:43:40  Game is going on. 
03-05 02:43:58  Game is going on. 
03-05 02:43:58  Looking for image: bk1.png 
03-05 02:44:22  Game is going on. 
03-05 02:44:22  Looking for image: bk1.png 
03-05 02:44:46  Game is going on. 
03-05 02:44:46  Looking for image: bk1.png 
03-05 02:44:51  I Give up 
03-05 02:45:15  Looking for image: bk1.png 
03-05 02:45:15  Total have win: 1 
03-05 02:45:15  Start Match 
03-05 02:45:18  start round match 
03-05 02:45:20  Looking for image: matching.png 
03-05 02:45:20  Still in matching 
03-05 02:45:23  Looking for image: matching.png 
03-05 02:45:23  Still in matching 
03-05 02:45:26  Looking for image: matching.png 
03-05 02:45:26  Still in matching 
03-05 02:45:28  Looking for image: matching.png 
03-05 02:45:29  Still in matching 
03-05 02:45:31  Looking for image: matching.png 
03-05 02:45:32  Still in matching 
03-05 02:45:34  Looking for image: matching.png 
03-05 02:45:35  Still in matching 
03-05 02:45:37  Looking for image: matching.png 
03-05 02:45:43  Not found matching.png, maybe match done 
03-05 02:45:45  Looking for image: matching.png 
03-05 02:45:51  Not found matching.png, maybe match done 
03-05 02:45:53  Looking for image: matching.png 
03-05 02:45:58  Not found matching.png, maybe match done 
03-05 02:45:58  matching done 
03-05 02:45:58  Game is going on. 
03-05 02:46:08  Select card. 
03-05 02:46:14  Wait for succeed 
03-05 02:46:14  Game is going on. 
03-05 02:46:32  Game is going on. 
03-05 02:46:32  Looking for image: bk1.png 
03-05 02:46:55  Game is going on. 
03-05 02:46:55  Looking for image: bk1.png 
03-05 02:47:19  Game is going on. 
03-05 02:47:19  Looking for image: bk1.png 
03-05 02:47:25  I Give up 
03-05 02:47:48  Looking for image: bk1.png 
03-05 02:47:49  Total have win: 1 
03-05 02:47:49  Start Match 
03-05 02:47:51  start round match 
03-05 02:47:53  Looking for image: matching.png 
03-05 02:47:54  Still in matching 
03-05 02:47:56  Looking for image: matching.png 
03-05 02:47:57  Still in matching 
03-05 02:47:59  Looking for image: matching.png 
03-05 02:48:00  Still in matching 
03-05 02:48:02  Looking for image: matching.png 
03-05 02:48:02  Still in matching 
03-05 02:48:05  Looking for image: matching.png 
03-05 02:48:05  Still in matching 
03-05 02:48:08  Looking for image: matching.png 
03-05 02:48:09  Still in matching 
03-05 02:48:12  Looking for image: matching.png 
03-05 02:48:17  Not found matching.png, maybe match done 
03-05 02:48:20  Looking for image: matching.png 
03-05 02:48:25  Not found matching.png, maybe match done 
03-05 02:48:28  Looking for image: matching.png 
03-05 02:48:33  Not found matching.png, maybe match done 
03-05 02:48:33  matching done 
03-05 02:48:33  Game is going on. 
03-05 02:48:43  Select card. 
03-05 02:48:48  Wait for succeed 
03-05 02:48:48  Game is going on. 
03-05 02:49:06  Game is going on. 
03-05 02:49:06  Looking for image: bk1.png 
03-05 02:49:30  Game is going on. 
03-05 02:49:30  Looking for image: bk1.png 
03-05 02:49:54  Game is going on. 
03-05 02:49:54  Looking for image: bk1.png 
03-05 02:49:59  I Give up 
03-05 02:50:23  Looking for image: bk1.png 
03-05 02:50:23  Total have win: 1 
03-05 02:50:23  Start Match 
03-05 02:50:25  start round match 
03-05 02:50:28  Looking for image: matching.png 
03-05 02:50:28  Still in matching 
03-05 02:50:30  Looking for image: matching.png 
03-05 02:50:31  Still in matching 
03-05 02:50:33  Looking for image: matching.png 
03-05 02:50:34  Still in matching 
03-05 02:50:36  Looking for image: matching.png 
03-05 02:50:37  Still in matching 
03-05 02:50:39  Looking for image: matching.png 
03-05 02:50:40  Still in matching 
03-05 02:50:42  Looking for image: matching.png 
03-05 02:50:43  Still in matching 
03-05 02:50:45  Looking for image: matching.png 
03-05 02:50:45  Still in matching 
03-05 02:50:48  Looking for image: matching.png 
03-05 02:50:48  Still in matching 
03-05 02:50:51  Looking for image: matching.png 
03-05 02:50:56  Not found matching.png, maybe match done 
03-05 02:50:58  Looking for image: matching.png 
03-05 02:51:04  Not found matching.png, maybe match done 
03-05 02:51:06  Looking for image: matching.png 
03-05 02:51:12  Not found matching.png, maybe match done 
03-05 02:51:12  matching done 
03-05 02:51:12  Game is going on. 
03-05 02:51:22  Select card. 
03-05 02:51:27  Wait for succeed 
03-05 02:51:27  Game is going on. 
03-05 02:51:45  Game is going on. 
03-05 02:51:45  Looking for image: bk1.png 
03-05 02:52:08  Game is going on. 
03-05 02:52:08  Looking for image: bk1.png 
03-05 02:52:32  Game is going on. 
03-05 02:52:32  Looking for image: bk1.png 
03-05 02:52:38  I Give up 
03-05 02:53:01  Looking for image: bk1.png 
03-05 02:53:01  Total have win: 1 
03-05 02:53:01  Start Match 
03-05 02:53:04  start round match 
03-05 02:53:06  Looking for image: matching.png 
03-05 02:53:07  Still in matching 
03-05 02:53:09  Looking for image: matching.png 
03-05 02:53:09  Still in matching 
03-05 02:53:12  Looking for image: matching.png 
03-05 02:53:12  Still in matching 
03-05 02:53:15  Looking for image: matching.png 
03-05 02:53:15  Still in matching 
03-05 02:53:17  Looking for image: matching.png 
03-05 02:53:18  Still in matching 
03-05 02:53:20  Looking for image: matching.png 
03-05 02:53:21  Still in matching 
03-05 02:53:23  Looking for image: matching.png 
03-05 02:53:29  Not found matching.png, maybe match done 
03-05 02:53:31  Looking for image: matching.png 
03-05 02:53:37  Not found matching.png, maybe match done 
03-05 02:53:39  Looking for image: matching.png 
03-05 02:53:45  Not found matching.png, maybe match done 
03-05 02:53:45  matching done 
03-05 02:53:45  Game is going on. 
03-05 02:53:55  Select card. 
03-05 02:54:00  Wait for succeed 
03-05 02:54:00  Game is going on. 
03-05 02:54:18  Game is going on. 
03-05 02:54:18  Looking for image: bk1.png 
03-05 02:54:19  I win this round 
03-05 02:54:19  Total have win: 2 
03-05 02:54:19  Start Match 
03-05 02:54:21  start round match 
03-05 02:54:23  Looking for image: matching.png 
03-05 02:54:24  Still in matching 
03-05 02:54:26  Looking for image: matching.png 
03-05 02:54:27  Still in matching 
03-05 02:54:29  Looking for image: matching.png 
03-05 02:54:30  Still in matching 
03-05 02:54:32  Looking for image: matching.png 
03-05 02:54:32  Still in matching 
03-05 02:54:35  Looking for image: matching.png 
03-05 02:54:35  Still in matching 
03-05 02:54:37  Looking for image: matching.png 
03-05 02:54:43  Not found matching.png, maybe match done 
03-05 02:54:46  Looking for image: matching.png 
03-05 02:54:51  Not found matching.png, maybe match done 
03-05 02:54:53  Looking for image: matching.png 
03-05 02:54:59  Not found matching.png, maybe match done 
03-05 02:54:59  matching done 
03-05 02:54:59  Game is going on. 
03-05 02:55:09  Select card. 
03-05 02:55:14  Wait for succeed 
03-05 02:55:14  Game is going on. 
03-05 02:55:32  Game is going on. 
03-05 02:55:32  Looking for image: bk1.png 
03-05 02:55:56  Game is going on. 
03-05 02:55:56  Looking for image: bk1.png 
03-05 02:56:19  Game is going on. 
03-05 02:56:19  Looking for image: bk1.png 
03-05 02:56:25  I Give up 
03-05 02:56:48  Looking for image: bk1.png 
03-05 02:56:49  Total have win: 2 
03-05 02:56:49  Start Match 
03-05 02:56:51  start round match 
03-05 02:56:53  Looking for image: matching.png 
03-05 02:56:54  Still in matching 
03-05 02:56:56  Looking for image: matching.png 
03-05 02:56:57  Still in matching 
03-05 02:56:59  Looking for image: matching.png 
03-05 02:57:00  Still in matching 
03-05 02:57:02  Looking for image: matching.png 
03-05 02:57:03  Still in matching 
03-05 02:57:05  Looking for image: matching.png 
03-05 02:57:05  Still in matching 
03-05 02:57:08  Looking for image: matching.png 
03-05 02:57:08  Still in matching 
03-05 02:57:10  Looking for image: matching.png 
03-05 02:57:17  Not found matching.png, maybe match done 
03-05 02:57:19  Looking for image: matching.png 
03-05 02:57:25  Not found matching.png, maybe match done 
03-05 02:57:28  Looking for image: matching.png 
03-05 02:57:34  Not found matching.png, maybe match done 
03-05 02:57:34  matching done 
03-05 02:57:34  Game is going on. 
03-05 02:57:44  Select card. 
03-05 02:57:49  Wait for succeed 
03-05 02:57:49  Game is going on. 
03-05 02:58:07  Game is going on. 
03-05 02:58:07  Looking for image: bk1.png 
03-05 02:58:31  Game is going on. 
03-05 02:58:31  Looking for image: bk1.png 
03-05 02:58:56  Game is going on. 
03-05 02:58:56  Looking for image: bk1.png 
03-05 02:59:02  I Give up 
03-05 02:59:26  Looking for image: bk1.png 
03-05 02:59:26  Total have win: 2 
03-05 02:59:26  Start Match 
03-05 02:59:28  start round match 
03-05 02:59:31  Looking for image: matching.png 
03-05 02:59:31  Still in matching 
03-05 02:59:33  Looking for image: matching.png 
03-05 02:59:34  Still in matching 
03-05 02:59:36  Looking for image: matching.png 
03-05 02:59:37  Still in matching 
03-05 02:59:39  Looking for image: matching.png 
03-05 02:59:44  Not found matching.png, maybe match done 
03-05 02:59:47  Looking for image: matching.png 
03-05 02:59:52  Not found matching.png, maybe match done 
03-05 02:59:54  Looking for image: matching.png 
03-05 03:00:00  Not found matching.png, maybe match done 
03-05 03:00:00  matching done 
03-05 03:00:00  Game is going on. 
03-05 03:00:10  Select card. 
03-05 03:00:15  Wait for succeed 
03-05 03:00:15  Game is going on. 
03-05 03:00:33  Game is going on. 
03-05 03:00:33  Looking for image: bk1.png 
03-05 03:00:58  Game is going on. 
03-05 03:00:58  Looking for image: bk1.png 
03-05 03:01:23  Game is going on. 
03-05 03:01:23  Looking for image: bk1.png 
03-05 03:01:28  I Give up 
03-05 03:01:52  Looking for image: bk1.png 
03-05 03:01:52  Total have win: 2 
03-05 03:01:52  Start Match 
03-05 03:01:55  start round match 
03-05 03:01:57  Looking for image: matching.png 
03-05 03:01:58  Still in matching 
03-05 03:02:00  Looking for image: matching.png 
03-05 03:02:00  Still in matching 
03-05 03:02:03  Looking for image: matching.png 
03-05 03:02:03  Still in matching 
03-05 03:02:06  Looking for image: matching.png 
03-05 03:02:06  Still in matching 
03-05 03:02:08  Looking for image: matching.png 
03-05 03:02:09  Still in matching 
03-05 03:02:11  Looking for image: matching.png 
03-05 03:02:17  Not found matching.png, maybe match done 
03-05 03:02:19  Looking for image: matching.png 
03-05 03:02:25  Not found matching.png, maybe match done 
03-05 03:02:27  Looking for image: matching.png 
03-05 03:02:32  Not found matching.png, maybe match done 
03-05 03:02:32  matching done 
03-05 03:02:32  Game is going on. 
03-05 03:02:42  Select card. 
03-05 03:02:48  Wait for succeed 
03-05 03:02:48  Game is going on. 
03-05 03:03:06  Game is going on. 
03-05 03:03:06  Looking for image: bk1.png 
03-05 03:03:29  Game is going on. 
03-05 03:03:29  Looking for image: bk1.png 
03-05 03:03:53  Game is going on. 
03-05 03:03:53  Looking for image: bk1.png 
03-05 03:03:59  I Give up 
03-05 03:04:22  Looking for image: bk1.png 
03-05 03:04:22  Total have win: 2 
03-05 03:04:22  Start Match 
03-05 03:04:25  start round match 
03-05 03:04:27  Looking for image: matching.png 
03-05 03:04:28  Still in matching 
03-05 03:04:30  Looking for image: matching.png 
03-05 03:04:31  Still in matching 
03-05 03:04:33  Looking for image: matching.png 
03-05 03:04:35  Still in matching 
03-05 03:04:37  Looking for image: matching.png 
03-05 03:04:38  Still in matching 
03-05 03:04:40  Looking for image: matching.png 
03-05 03:04:40  Still in matching 
03-05 03:04:43  Looking for image: matching.png 
03-05 03:04:43  Still in matching 
03-05 03:04:45  Looking for image: matching.png 
03-05 03:04:48  Still in matching 
03-05 03:04:50  Looking for image: matching.png 
03-05 03:04:56  Not found matching.png, maybe match done 
03-05 03:04:58  Looking for image: matching.png 
03-05 03:05:04  Not found matching.png, maybe match done 
03-05 03:05:06  Looking for image: matching.png 
03-05 03:05:12  Not found matching.png, maybe match done 
03-05 03:05:12  matching done 
03-05 03:05:12  Game is going on. 
03-05 03:05:22  Select card. 
03-05 03:05:27  Wait for succeed 
03-05 03:05:27  Game is going on. 
03-05 03:05:45  Game is going on. 
03-05 03:05:45  Looking for image: bk1.png 
03-05 03:06:09  Game is going on. 
03-05 03:06:09  Looking for image: bk1.png 
03-05 03:06:32  Game is going on. 
03-05 03:06:32  Looking for image: bk1.png 
03-05 03:06:38  I Give up 
03-05 03:07:02  Looking for image: bk1.png 
03-05 03:07:02  Total have win: 2 
03-05 03:07:02  Start Match 
03-05 03:07:04  start round match 
03-05 03:07:07  Looking for image: matching.png 
03-05 03:07:08  Still in matching 
03-05 03:07:10  Looking for image: matching.png 
03-05 03:07:11  Still in matching 
03-05 03:07:13  Looking for image: matching.png 
03-05 03:07:14  Still in matching 
03-05 03:07:16  Looking for image: matching.png 
03-05 03:07:17  Still in matching 
03-05 03:07:19  Looking for image: matching.png 
03-05 03:07:20  Still in matching 
03-05 03:07:22  Looking for image: matching.png 
03-05 03:07:24  Still in matching 
03-05 03:07:26  Looking for image: matching.png 
03-05 03:07:33  Not found matching.png, maybe match done 
03-05 03:07:35  Looking for image: matching.png 
03-05 03:07:42  Not found matching.png, maybe match done 
03-05 03:07:44  Looking for image: matching.png 
03-05 03:07:51  Not found matching.png, maybe match done 
03-05 03:07:51  matching done 
03-05 03:07:51  Game is going on. 
03-05 03:08:01  Select card. 
03-05 03:08:06  Wait for succeed 
03-05 03:08:06  Game is going on. 
03-05 03:08:24  Game is going on. 
03-05 03:08:24  Looking for image: bk1.png 
03-05 03:08:49  Game is going on. 
03-05 03:08:49  Looking for image: bk1.png 
03-05 03:09:14  Game is going on. 
03-05 03:09:14  Looking for image: bk1.png 
03-05 03:09:21  I Give up 
03-05 03:09:44  Looking for image: bk1.png 
03-05 03:09:45  Total have win: 2 
03-05 03:09:45  Start Match 
03-05 03:09:47  start round match 
03-05 03:09:49  Looking for image: matching.png 
03-05 03:09:50  Still in matching 
03-05 03:09:52  Looking for image: matching.png 
03-05 03:09:53  Still in matching 
03-05 03:09:55  Looking for image: matching.png 
03-05 03:10:03  Not found matching.png, maybe match done 
03-05 03:10:05  Looking for image: matching.png 
03-05 03:10:12  Not found matching.png, maybe match done 
03-05 03:10:14  Looking for image: matching.png 
03-05 03:10:21  Not found matching.png, maybe match done 
03-05 03:10:21  matching done 
03-05 03:10:21  Game is going on. 
03-05 03:10:31  Select card. 
03-05 03:10:36  Wait for succeed 
03-05 03:10:36  Game is going on. 
03-05 03:10:54  Game is going on. 
03-05 03:10:54  Looking for image: bk1.png 
03-05 03:11:19  Game is going on. 
03-05 03:11:19  Looking for image: bk1.png 
03-05 03:11:44  Game is going on. 
03-05 03:11:44  Looking for image: bk1.png 
03-05 03:11:52  I Give up 
03-05 03:12:15  Looking for image: bk1.png 
03-05 03:12:16  Total have win: 2 
03-05 03:12:16  Start Match 
03-05 03:12:18  start round match 
03-05 03:12:20  Looking for image: matching.png 
03-05 03:12:21  Still in matching 
03-05 03:12:23  Looking for image: matching.png 
03-05 03:12:24  Still in matching 
03-05 03:12:26  Looking for image: matching.png 
03-05 03:12:27  Still in matching 
03-05 03:12:29  Looking for image: matching.png 
03-05 03:12:30  Still in matching 
03-05 03:12:32  Looking for image: matching.png 
03-05 03:12:33  Still in matching 
03-05 03:12:35  Looking for image: matching.png 
03-05 03:12:36  Still in matching 
03-05 03:12:38  Looking for image: matching.png 
03-05 03:12:38  Still in matching 
03-05 03:12:41  Looking for image: matching.png 
03-05 03:12:44  Still in matching 
03-05 03:12:46  Looking for image: matching.png 
03-05 03:12:53  Not found matching.png, maybe match done 
03-05 03:12:56  Looking for image: matching.png 
03-05 03:13:02  Not found matching.png, maybe match done 
03-05 03:13:05  Looking for image: matching.png 
03-05 03:13:11  Not found matching.png, maybe match done 
03-05 03:13:11  matching done 
03-05 03:13:11  Game is going on. 
03-05 03:13:21  Select card. 
03-05 03:13:27  Wait for succeed 
03-05 03:13:27  Game is going on. 
03-05 03:13:45  Game is going on. 
03-05 03:13:45  Looking for image: bk1.png 
03-05 03:14:09  Game is going on. 
03-05 03:14:09  Looking for image: bk1.png 
03-05 03:14:34  Game is going on. 
03-05 03:14:34  Looking for image: bk1.png 
03-05 03:14:41  I Give up 
03-05 03:15:04  Looking for image: bk1.png 
03-05 03:15:04  Total have win: 2 
03-05 03:15:04  Start Match 
03-05 03:15:07  start round match 
03-05 03:15:09  Looking for image: matching.png 
03-05 03:15:10  Still in matching 
